  VIAB-CONTEXTO  nucleos=12 jobs=6 carga_al_empezar=3.76 nula_lista=si corrida=corrida-1322700-1789138857 criterio=docs/arnes/req-024-ca-07-ii-reparacion/03-fase-1-viabilidad-en-el-runner.md
  VIAB  V2 k=8 r=30 n=5 razon_milesimas=1019 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1376073-1789138995149530 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.37 jobs=desconocido k=8 r=30 us=7164254 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n5 min=107640 max=148092 min2=107712 disp=1375 acompanada=si min_a=107640 max_a=148092 min2_a=107712 min_b=105557 max_b=133069 min2_b=107612 razon=1019 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=9 razon_milesimas=1029 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1378021-1789139002323440 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.26 jobs=desconocido k=4 r=6 us=745074 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n9 min=56321 max=75127 min2=58209 disp=1333 acompanada=si min_a=56321 max_a=75127 min2_a=58209 min_b=54691 max_b=67053 min2_b=57373 razon=1029 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=7 razon_milesimas=985 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1378215-1789139003076113 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.08 jobs=desconocido k=8 r=15 us=3424927 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n7 min=105088 max=120300 min2=105670 disp=1144 acompanada=no min_a=105088 max_a=120300 min2_a=105670 min_b=106674 max_b=128790 min2_b=106826 razon=985 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=6 razon_milesimas=1040 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1379189-1789139006510597 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.08 jobs=desconocido k=8 r=30 us=7595881 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n6 min=117883 max=138091 min2=120409 disp=1171 acompanada=no min_a=117883 max_a=138091 min2_a=120409 min_b=113311 max_b=140720 min2_b=117056 razon=1040 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V3 k=8 r=60 n=3 razon_milesimas=1018 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1381129-1789139014114117 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.30 jobs=desconocido k=8 r=60 us=14766324 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V3-n3 min=108247 max=146658 min2=108698 disp=1354 acompanada=si min_a=108247 max_a=146658 min2_a=108698 min_b=106252 max_b=153090 min2_b=107720 razon=1018 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=10 razon_milesimas=1054 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1385019-1789139028889551 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.08 jobs=desconocido k=4 r=6 us=670258 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n10 min=53282 max=62351 min2=53626 disp=1170 acompanada=no min_a=53282 max_a=62351 min2_a=53626 min_b=50534 max_b=57235 min2_b=51614 razon=1054 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=8 razon_milesimas=989 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1385214-1789139029568036 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.08 jobs=desconocido k=8 r=15 us=4710314 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n8 min=109233 max=212809 min2=116676 disp=1948 acompanada=si min_a=109233 max_a=212809 min2_a=116676 min_b=110341 max_b=254119 min2_b=115489 razon=989 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=11 razon_milesimas=1011 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1386194-1789139034287065 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.91 jobs=desconocido k=4 r=6 us=718831 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n11 min=56765 max=62344 min2=58112 disp=1098 acompanada=no min_a=56765 max_a=62344 min2_a=58112 min_b=56140 max_b=62537 min2_b=56350 razon=1011 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=9 razon_milesimas=1011 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1386391-1789139035013872 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.91 jobs=desconocido k=8 r=15 us=3563419 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n9 min=109970 max=130079 min2=110024 disp=1182 acompanada=no min_a=109970 max_a=130079 min2_a=110024 min_b=108717 max_b=125301 min2_b=110797 razon=1011 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=7 razon_milesimas=1000 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1387362-1789139038584861 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.84 jobs=desconocido k=8 r=30 us=7349912 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n7 min=105935 max=141303 min2=108577 disp=1333 acompanada=si min_a=105935 max_a=141303 min2_a=108577 min_b=105906 max_b=170343 min2_b=109892 razon=1000 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=12 razon_milesimas=935 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1389314-1789139045945213 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.85 jobs=desconocido k=4 r=6 us=1042406 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n12 min=61484 max=122589 min2=63383 disp=1993 acompanada=si min_a=61484 max_a=122589 min2_a=63383 min_b=65723 max_b=116878 min2_b=68821 razon=935 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=10 razon_milesimas=1012 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1389508-1789139046999810 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.85 jobs=desconocido k=8 r=15 us=3535775 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n10 min=107990 max=134204 min2=109158 disp=1242 acompanada=no min_a=107990 max_a=134204 min2_a=109158 min_b=106692 max_b=135557 min2_b=108017 razon=1012 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=8 razon_milesimas=1001 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1390484-1789139050544766 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.78 jobs=desconocido k=8 r=30 us=6868542 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n8 min=104346 max=127315 min2=107573 disp=1220 acompanada=no min_a=104346 max_a=127315 min2_a=107573 min_b=104209 max_b=130320 min2_b=105831 razon=1001 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V3 k=8 r=60 n=4 razon_milesimas=1010 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1392426-1789139057421420 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=1.72 jobs=desconocido k=8 r=60 us=13698744 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V3-n4 min=104111 max=132698 min2=104451 disp=1274 acompanada=si min_a=104111 max_a=132698 min2_a=104451 min_b=103067 max_b=140470 min2_b=106085 razon=1010 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB-RESUMEN  V0 k=4 r=6 pedidas=12 hechas=12 con_razon=12 sin_razon=0 min_milesimas=935 max_milesimas=1059 peor_ventana4_milesimas=1127 us_total=9801843 us_por_invocacion=17017 razones=[968 1022 1009 1021 1059 990 1019 1023 1029 1054 1011 935]
  VIAB-RESUMEN  V1 k=8 r=15 pedidas=10 hechas=10 con_razon=10 sin_razon=0 min_milesimas=981 max_milesimas=1024 peor_ventana4_milesimas=1043 us_total=41206649 us_por_invocacion=17169 razones=[1010 1024 981 995 981 984 985 989 1011 1012]
  VIAB-RESUMEN  V2 k=8 r=30 pedidas=8 hechas=8 con_razon=8 sin_razon=0 min_milesimas=993 max_milesimas=1040 peor_ventana4_milesimas=1047 us_total=63298752 us_por_invocacion=16484 razones=[997 1007 993 1037 1019 1040 1000 1001]
  VIAB-RESUMEN  V3 k=8 r=60 pedidas=4 hechas=4 con_razon=4 sin_razon=0 min_milesimas=1001 max_milesimas=1018 peor_ventana4_milesimas=1016 us_total=57922300 us_por_invocacion=15083 razones=[1014 1001 1018 1010]
  VIAB-RESUMEN  TOTAL us_de_pared_del_barrido=172548579 presupuesto_agotado=no carga_al_terminar=1.48
