  VIAB-CONTEXTO  nucleos=4 jobs=6 carga_al_empezar=5.04 nula_lista=si corrida=corrida-2355-1789139627 criterio=docs/arnes/req-024-ca-07-ii-reparacion/03-fase-1-viabilidad-en-el-runner.md
  VIAB  V2 k=8 r=30 n=5 razon_milesimas=1002 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=55321-1789139766385531 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.61 jobs=desconocido k=8 r=30 us=6635466 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n5 min=107973 max=115573 min2=108182 disp=1070 acompanada=no min_a=107973 max_a=115573 min2_a=108182 min_b=107679 max_b=115376 min2_b=108260 razon=1002 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=9 razon_milesimas=1000 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=57245-1789139773026562 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.36 jobs=desconocido k=4 r=6 us=674472 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n9 min=54682 max=55601 min2=54969 disp=1016 acompanada=no min_a=54682 max_a=55601 min2_a=54969 min_b=54664 max_b=57311 min2_b=54720 razon=1000 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=7 razon_milesimas=999 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=57439-1789139773706531 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.36 jobs=desconocido k=8 r=15 us=3305612 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n7 min=108593 max=111866 min2=108917 disp=1030 acompanada=no min_a=108593 max_a=111866 min2_a=108917 min_b=108663 max_b=112028 min2_b=108968 razon=999 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=6 razon_milesimas=1003 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=58401-1789139777017886 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.36 jobs=desconocido k=8 r=30 us=6814689 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n6 min=108981 max=131553 min2=109056 disp=1207 acompanada=no min_a=108981 max_a=131553 min2_a=109056 min_b=108549 max_b=116205 min2_b=108847 razon=1003 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V3 k=8 r=60 n=3 razon_milesimas=1009 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=60323-1789139783838410 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.15 jobs=desconocido k=8 r=60 us=13231231 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V3-n3 min=107883 max=114796 min2=108001 disp=1064 acompanada=no min_a=107883 max_a=114796 min2_a=108001 min_b=106842 max_b=133267 min2_b=107914 razon=1009 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=10 razon_milesimas=1000 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=64167-1789139797075105 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=1.97 jobs=desconocido k=4 r=6 us=667942 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n10 min=53905 max=57428 min2=53979 disp=1065 acompanada=no min_a=53905 max_a=57428 min2_a=53979 min_b=53883 max_b=55241 min2_b=54380 razon=1000 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=8 razon_milesimas=1001 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=64361-1789139797748508 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=1.89 jobs=desconocido k=8 r=15 us=3317995 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n8 min=109453 max=111136 min2=109454 disp=1015 acompanada=no min_a=109453 max_a=111136 min2_a=109454 min_b=109256 max_b=111039 min2_b=109291 razon=1001 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=11 razon_milesimas=1003 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=65323-1789139801072001 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=1.89 jobs=desconocido k=4 r=6 us=682318 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n11 min=54869 max=62804 min2=54948 disp=1144 acompanada=no min_a=54869 max_a=62804 min2_a=54948 min_b=54691 max_b=58482 min2_b=54780 razon=1003 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=9 razon_milesimas=999 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=65536-1789139801759982 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=1.89 jobs=desconocido k=8 r=15 us=3309734 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n9 min=108656 max=113232 min2=108747 disp=1042 acompanada=no min_a=108656 max_a=113232 min2_a=108747 min_b=108696 max_b=110501 min2_b=109082 razon=999 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=7 razon_milesimas=994 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=66501-1789139805075629 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=1.82 jobs=desconocido k=8 r=30 us=6602898 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n7 min=107213 max=135435 min2=107876 disp=1263 acompanada=si min_a=107213 max_a=135435 min2_a=107876 min_b=107847 max_b=112404 min2_b=107923 razon=994 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
